Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
07.07.;;;;;;;;;;4er;           6.359;à;              51,80;3er + ZZ;           7.988;à;              17,60;3er;         102.392;à;               5,50;ZZ;         308.078;à;               1,30;
10.07.;aufsteigend;6;8;12;18;19;38;ZZ;21;6er;               1;à;       1.000.000,00;5er + ZZ;               3;à;          27.061,80;5er;              78;à;           1.079,30;4er + ZZ;             202;à;             133,90;
10.07.;;;;;;;;;;4er;           3.745;à;              42,10;3er + ZZ;           4.838;à;              13,90;3er;          55.896;à;               4,80;ZZ;         148.847;à;               1,30;
12.07.;aufsteigend;4;13;16;21;33;35;ZZ;29;6er;JP;;         537.046,40;5er + ZZ;JP;;          72.501,20;5er;              88;à;             854,30;4er + ZZ;             168;à;             143,80;
12.07.;;;;;;;;;;4er;           2.756;à;              51,10;3er + ZZ;           3.785;à;              15,90;3er;          44.247;à;               5,40;ZZ;         127.362;à;               1,30;
14.07.;aufsteigend;7;13;17;20;30;43;ZZ;1;6er;               2;à;         576.694,30;5er + ZZ;DJP;;         155.707,40;5er;              81;à;           1.065,20;4er + ZZ;             195;à;             142,20;
14.07.;;;;;;;;;;4er;           3.598;à;              44,90;3er + ZZ;           4.757;à;              14,50;3er;          53.784;à;               5,10;ZZ;         151.656;à;               1,30;
17.07.;aufsteigend;2;17;23;35;41;42;ZZ;39;6er;JP;;         717.143,70;5er + ZZ;               3;à;          80.929,70;5er;              54;à;           1.770,70;4er + ZZ;             164;à;             166,50;
17.07.;;;;;;;;;;4er;           2.792;à;              61,10;3er + ZZ;           3.765;à;              18,10;3er;          44.142;à;               6,60;ZZ;         137.592;à;               1,50;
21.07.;aufsteigend;3;15;25;26;30;33;ZZ;42;6er;               1;à;       1.694.961,20;5er + ZZ;               2;à;          59.367,40;5er;              89;à;           1.464,80;4er + ZZ;             241;à;             154,50;
21.07.;;;;;;;;;;4er;           4.258;à;              54,60;3er + ZZ;           5.546;à;              16,70;3er;          70.147;à;               5,60;ZZ;         180.779;à;               1,50;
24.07.;aufsteigend;12;30;32;34;37;43;ZZ;21;6er;JP;;         710.463,30;5er + ZZ;               3;à;          28.756,80;5er;              43;à;           2.202,90;4er + ZZ;             155;à;             174,60;
24.07.;;;;;;;;;;4er;           2.535;à;              66,70;3er + ZZ;           3.665;à;              18,40;3er;          41.504;à;               6,90;ZZ;         154.837;à;               1,50;
28.07.;aufsteigend;7;9;12;17;19;39;ZZ;18;6er;DJP;;       1.664.061,70;5er + ZZ;               3;à;          38.598,00;5er;             147;à;             864,90;4er + ZZ;             265;à;             137,00;
28.07.;;;;;;;;;;4er;           5.372;à;              42,20;3er + ZZ;           5.562;à;              16,30;3er;          78.318;à;               4,90;ZZ;         178.965;à;               1,50;
31.07.;aufsteigend;3;5;17;25;30;36;ZZ;8;6er;3JP;;       2.633.955,60;5er + ZZ;               3;à;          39.257,60;5er;              94;à;           1.375,70;4er + ZZ;             299;à;             123,50;
31.07.;;;;;;;;;;4er;           4.164;à;              55,40;3er + ZZ;           6.608;à;              13,90;3er;          67.769;à;               5,80;ZZ;         207.674;à;               1,50;
04.08.;aufsteigend;11;13;27;32;38;40;ZZ;23;6er;               1;à;       3.953.610,40;5er + ZZ;               3;à;          53.414,60;5er;             130;à;           1.353,40;4er + ZZ;             330;à;             152,30;
04.08.;;;;;;;;;;4er;           5.337;à;              58,80;3er + ZZ;           7.662;à;              16,40;3er;          86.431;à;               6,20;ZZ;         265.963;à;               1,50;
07.08.;aufsteigend;3;8;27;28;36;42;ZZ;29;6er;               2;à;         600.000,00;5er + ZZ;               1;à;          89.172,00;5er;              72;à;           1.359,90;4er + ZZ;             154;à;             181,60;
07.08.;;;;;;;;;;4er;           3.199;à;              54,60;3er + ZZ;           3.928;à;              17,80;3er;          52.990;à;               5,60;ZZ;         145.183;à;               1,50;
09.08.;aufsteigend;3;9;14;29;33;38;ZZ;27;6er;               1;à;       1.200.000,00;5er + ZZ;               3;à;          25.981,80;5er;              68;à;           1.258,60;4er + ZZ;             167;à;             146,40;
09.08.;;;;;;;;;;4er;           2.805;à;              54,40;3er + ZZ;           4.535;à;              13,40;3er;          44.478;à;               5,80;ZZ;         133.137;à;               1,50;
11.08.;aufsteigend;13;14;31;34;36;40;ZZ;26;6er;JP;;         675.085,90;5er + ZZ;               1;à;          81.974,70;5er;              42;à;           2.143,10;4er + ZZ;              92;à;             279,50;
11.08.;;;;;;;;;;4er;           2.271;à;              70,70;3er + ZZ;           3.140;à;              20,40;3er;          38.451;à;               7,10;ZZ;         148.834;à;               1,50;
14.08.;aufsteigend;1;5;13;17;26;38;ZZ;3;6er;DJP;;       1.517.895,50;5er + ZZ;               3;à;          34.113,70;5er;              95;à;           1.182,80;4er + ZZ;             233;à;             137,70;
14.08.;;;;;;;;;;4er;           3.938;à;              50,90;3er + ZZ;           6.435;à;              12,40;3er;          59.053;à;               5,80;ZZ;         181.953;à;               1,50;
