date,jackpot_eur,delta_from_prev_eur,jackpot_won,jackpot_winners,numbers
2019-02-03,792331,-501958,False,,2 25 27 39 40 42 34
2019-02-06,552103,-240228,True,3,13 15 19 26 30 44 8
2019-02-10,765519,213416,False,,2 4 9 12 13 16 15
2019-02-13,1602935,837416,False,,3 7 8 16 23 25 21
2019-02-17,2668252,1065317,True,1,5 7 26 33 37 44 40
2019-02-20,644481,-2023771,False,,9 12 21 26 29 37 34
2019-02-24,1548226,903745,False,,4 6 25 29 30 35 18
2019-02-27,2470964,922738,False,,2 6 13 37 39 43 24
2019-03-03,3724748,1253784,False,,16 21 25 33 35 42 17
2019-03-06,2576750,-1147998,True,2,1 7 12 33 37 42 43
2019-03-10,1000000,-1576750,True,1,2 7 8 12 14 29 19
2019-03-13,665139,-334861,False,,4 25 30 33 34 43 12
2019-03-17,1615454,950315,False,,12 15 19 22 37 39 27
2019-03-20,2597440,981986,False,,8 11 12 17 23 24 20
2019-03-24,1911857,-685583,True,2,8 12 22 28 38 44 25
2019-03-27,500000,-1411857,True,2,7 20 27 32 43 44 30
2019-03-31,756371,256371,False,,4 11 20 22 23 40 35
2019-04-03,1570747,814376,False,,2 6 10 14 34 38 28
2019-04-07,2616700,1045953,False,,7 9 22 28 31 38 15
2019-04-10,3744927,1128227,True,1,3 14 26 27 28 30 20
2019-04-14,745054,-2999873,False,,8 19 24 29 44 45 12
2019-04-17,1546328,801274,False,,4 16 17 18 37 42 10
2019-04-21,2579792,1033464,True,1,2 5 25 28 35 37 39
2019-04-24,577949,-2001843,False,,5 13 20 26 31 40 43
2019-04-28,1458912,880963,False,,7 8 9 14 25 33 6
2019-05-01,2317853,858941,True,1,4 7 24 28 36 40 21
2019-05-05,759795,-1558058,False,,3 4 10 24 33 34 23
2019-05-08,1573250,813455,True,1,23 28 32 35 39 40 30
2019-05-12,500000,-1073250,True,2,7 12 20 33 38 41 23
2019-05-15,1000000,500000,True,1,4 5 12 24 26 27 45
2019-05-19,706767,-293233,False,,5 7 23 27 31 34 38
2019-05-22,736775,30008,True,2,19 26 28 35 38 43 18
2019-05-26,1000000,263225,True,1,3 5 9 11 28 31 44
2019-05-29,627008,-372992,False,,1 3 7 20 22 34 13
2019-06-02,1434898,807890,False,,12 13 29 30 36 42 8
2019-06-05,2306525,871627,False,,4 18 20 32 34 44 45
2019-06-09,3466008,1159483,True,1,3 16 17 24 26 41 42
2019-06-12,1000000,-2466008,True,1,3 8 11 15 18 43 33
2019-06-16,1000000,0,True,1,3 15 25 35 37 45 34
2019-06-19,622072,-377928,False,,3 9 18 35 38 41 11
2019-06-23,1422367,800295,True,1,6 9 10 24 40 44 21
2019-06-26,333333,-1089034,True,3,6 13 17 28 32 42 29
2019-06-30,680703,347370,False,,5 9 15 16 22 32 3
2019-07-03,1451624,770921,False,,6 16 29 31 41 44 1
2019-07-07,2432878,981254,False,,8 19 32 33 41 42 20
2019-07-10,3523017,1090139,True,1,5 28 30 35 36 45 25
2019-07-14,711701,-2811316,False,,4 12 16 22 24 33 31
2019-07-17,1499377,787676,False,,4 5 18 28 31 32 33
2019-07-21,1258116,-241261,True,2,7 13 17 20 42 45 5
2019-07-24,610419,-647697,False,,4 6 7 29 30 37 16
2019-07-28,491217,-119202,True,3,3 7 9 13 26 39 8
2019-07-31,596082,104865,False,,13 22 33 37 39 41 11
2019-08-04,1466077,869995,False,,12 13 16 17 22 41 40
2019-08-07,2361025,894948,False,,3 4 9 19 20 25 37
2019-08-11,1761322,-599703,True,2,5 14 21 28 32 42 35
2019-08-14,1000000,-761322,True,1,1 6 7 20 28 35 33
2019-08-18,672686,-327314,False,,1 7 8 19 24 39 9
2019-08-21,1451561,778875,False,,5 6 24 26 35 36 2
2019-08-25,2446262,994701,False,,2 24 31 32 40 41 25
2019-08-28,3529427,1083165,False,,4 10 20 25 29 35 32
2019-09-01,4991197,1461770,True,1,2 16 27 35 39 45 5
2019-09-04,659873,-4331324,False,,2 6 11 27 32 42 12
2019-09-08,1563134,903261,False,,18 23 27 28 39 45 20
2019-09-11,2486258,923124,False,,5 7 13 15 23 30 31
2019-09-15,3707731,1221473,False,,1 6 15 27 29 40 41
2019-09-18,5148766,1441035,False,,12 14 21 25 32 33 36
2019-09-22,2345548,-2803218,True,3,3 14 23 25 32 41 26
2019-09-25,1000000,-1345548,True,1,5 14 21 26 29 38 13
2019-09-29,735612,-264388,False,,3 4 18 19 28 32 6
2019-10-02,1527972,792360,True,1,11 15 16 17 22 24 27
2019-10-06,742030,-785942,False,,10 29 31 32 44 45 33
2019-10-09,1536261,794231,True,1,3 6 16 28 33 42 39
2019-10-13,712311,-823950,False,,9 14 17 23 26 32 33
2019-10-16,1484453,772142,True,1,3 4 25 36 40 45 18
2019-10-20,711840,-772613,False,,1 2 3 18 26 34 17
2019-10-23,1467809,755969,False,,6 8 13 32 39 45 28
2019-10-27,2365785,897976,True,1,9 26 28 32 35 43 25
2019-10-30,614527,-1751258,False,,4 11 12 15 20 42 14
2019-11-03,1455614,841087,False,,15 16 22 24 27 33 17
2019-11-06,2377384,921770,False,,6 16 17 34 38 40 28
2019-11-10,3552412,1175028,False,,2 9 10 19 29 40 3
2019-11-13,4823263,1270851,False,,4 27 33 34 41 45 42
2019-11-17,6552614,1729351,True,1,2 15 23 28 33 34 19
2019-11-20,639464,-5913150,False,,7 11 13 15 22 27 2
2019-11-24,1527069,887605,True,1,3 9 15 18 26 29 28
2019-11-27,1000000,-527069,True,1,2 7 17 23 39 43 18
2019-12-01,751970,-248030,False,,4 9 20 22 32 37 39
2019-12-04,1558099,806129,False,,2 7 9 32 36 43 31
2019-12-08,2591333,1033234,False,,8 27 30 40 42 43 9
2019-12-11,3697632,1106299,True,1,2 8 18 26 35 43 40
2019-12-15,1000000,-2697632,True,1,8 11 16 33 38 45 42
2019-12-18,669361,-330639,False,,1 8 11 17 32 34 45
2019-12-22,1653727,984366,False,,7 8 9 22 25 37 23
2019-12-25,2623677,969950,False,,6 27 32 33 38 40 21
2019-12-29,3754385,1130708,False,,3 20 22 27 31 33 38
2020-01-01,5100702,1346317,True,1,5 8 19 23 36 39 3
2020-01-05,784450,-4316252,False,,3 5 12 27 36 44 15
2020-01-08,1562962,778512,False,,18 21 24 38 41 42 4
2020-01-12,2605418,1042456,False,,6 13 25 31 38 44 32
2020-01-15,3743596,1138178,True,1,9 11 16 26 31 41 34
2020-01-19,739149,-3004447,False,,5 12 36 38 39 45 22
2020-01-22,1567177,828028,False,,1 15 28 42 43 44 12
2020-01-26,2586615,1019438,False,,5 23 26 27 37 40 4
2020-01-29,1852209,-734406,True,2,3 11 23 29 39 44 28
2020-02-02,1000000,-852209,True,1,6 7 9 20 28 30 40
2020-02-05,624985,-375015,False,,8 17 33 36 38 44 23
2020-02-09,1526804,901819,False,,5 22 23 27 37 45 25
2020-02-12,2444200,917396,False,,3 4 7 17 39 44 33
2020-02-16,3656154,1211954,False,,4 5 20 22 31 39 38
2020-02-19,5015647,1359493,False,,1 2 3 16 24 44 12
2020-02-23,6821231,1805584,False,,6 8 18 33 42 45 29
2020-02-26,3067178,-3754053,True,3,3 6 11 16 25 43 1
2020-03-01,1000000,-2067178,True,1,11 14 20 37 38 41 13
2020-03-04,1000000,0,True,1,4 10 12 31 34 44 32
2020-03-08,500000,-500000,True,2,3 10 13 18 26 36 9
2020-03-11,653046,153046,False,,15 29 31 42 44 45 10
2020-03-13,1464858,811812,False,,2 14 26 30 38 39 18
2020-03-15,2157961,693103,False,,4 16 17 20 25 43 19
2020-03-18,2931988,774027,True,1,5 9 20 21 26 42 27
2020-03-22,595369,-2336619,False,,4 9 12 17 32 43 38
2020-03-25,1242615,647246,False,,5 26 30 31 32 33 6
2020-03-29,2064553,821938,True,1,3 4 6 30 36 39 5
2020-04-01,549182,-1515371,False,,1 11 15 22 26 36 25
2020-04-05,1324207,775025,False,,12 23 28 33 40 41 11
2020-04-08,2114184,789977,False,,1 4 6 15 18 32 9
2020-04-12,3175585,1061401,False,,13 20 26 41 43 45 17
2020-04-15,4229588,1054003,False,,2 5 11 41 43 44 38
2020-04-19,5745440,1515852,False,,2 10 12 33 35 39 38
2020-04-22,7749269,2003829,True,1,3 11 12 23 28 38 2
2020-04-26,716603,-7032666,False,,8 16 23 25 26 28 11
2020-04-29,1517829,801226,False,,11 15 16 18 29 34 13
2020-05-03,1260846,-256983,True,2,10 14 21 32 34 45 11
2020-05-06,656525,-604321,False,,4 8 26 27 28 44 12
2020-05-10,1585772,929247,True,1,7 13 27 31 32 44 10
2020-05-13,641993,-943779,False,,4 18 19 21 25 36 2
2020-05-17,1563365,921372,True,1,3 7 11 18 22 34 35
2020-05-20,1000000,-563365,True,1,4 13 14 24 27 31 22
2020-05-24,692452,-307548,False,,12 16 18 25 28 34 45
2020-05-27,1474774,782322,False,,12 20 28 37 40 42 1
2020-05-31,2524333,1049559,True,1,21 25 26 28 34 40 17
2020-06-03,500000,-2024333,True,2,4 9 10 13 18 31 36
2020-06-07,1000000,500000,True,1,1 12 20 36 41 42 22
