date,jackpot_eur,jackpot_won,jackpot_winners,source
2020-03-04,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-03-08,500000,1,2,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-03-11,653046,0,,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-03-13,1464858,0,,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-03-15,2157961,0,,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-03-18,2931988,1,1,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-03-22,595369,0,,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-03-25,1242615,0,,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-03-29,2064553,1,1,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-04-01,549182,0,,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-04-05,1324207,0,,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-04-08,2114184,0,,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-04-12,3175585,0,,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-04-15,4229588,0,,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-04-19,5745440,0,,win2day:NN_W2D_STAT_Lotto_2020.csv
